runid	clusterid	annote	Methanothermococcus_archaeon_SAG_AD_155_C09	Methanothermococcus_archaeon_SAG_AD_155_K20	Methanothermococcus_archaeon_SAG_AD_155_M21	Methanothermococcus_archaeon_SAG_AD_155_N22	Methanothermococcus_archaeon_SAG_AD_155_E23
all_I_2.0_c_0.4_m_maxbit	1532	hypothetical protein_ga0150971_102519	fig|155862.1.peg.285	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	921	helicase_ga0150972_123865	fig|155862.1.peg.1032	NONE	NONE	NONE	fig|155862.2.peg.993
all_I_2.0_c_0.4_m_maxbit	300	ecorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase_ga0150974_157630	fig|155862.1.peg.447	NONE	fig|155862.4.peg.863	fig|155862.5.peg.670	fig|155862.2.peg.847
all_I_2.0_c_0.4_m_maxbit	1779	hypothetical protein_ga0150974_11764	NONE	NONE	fig|155862.4.peg.303	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1158	 membrane-bound hydrogenase subunit ehbb_ga0150971_105518	fig|155862.1.peg.636	NONE	NONE	NONE	fig|155862.2.peg.18
all_I_2.0_c_0.4_m_maxbit	547	 lsu ribosomal protein l24p_ga0150974_136517	fig|155862.1.peg.127	NONE	fig|155862.4.peg.652	NONE	fig|155862.2.peg.51
all_I_2.0_c_0.4_m_maxbit	1014	utp pyrophosphatase_ga0150972_1026119	fig|155862.1.peg.1317	NONE	NONE	NONE	fig|155862.2.peg.122
all_I_2.0_c_0.4_m_maxbit	445	 ssu ribosomal protein s27e_ga0150974_101739	fig|155862.1.peg.1087	NONE	fig|155862.4.peg.47	NONE	fig|155862.2.peg.943
all_I_2.0_c_0.4_m_maxbit	1303	uncharacterised acr (duf711)_ga0150975_18851	NONE	NONE	NONE	fig|155862.5.peg.826	NONE
all_I_2.0_c_0.4_m_maxbit	688	hypothetical protein_ga0150975_163117	fig|155862.1.peg.371	NONE	NONE	fig|155862.5.peg.528	fig|155862.2.peg.247
all_I_2.0_c_0.4_m_maxbit	71	protein of unknown function (duf1616)_ga0150973_1184316	fig|155862.1.peg.396	fig|155862.3.peg.203	fig|155862.4.peg.768	fig|155862.5.peg.784	fig|155862.2.peg.490
all_I_2.0_c_0.4_m_maxbit	1546	protein of unknown function duf70_ga0150972_12776	NONE	NONE	NONE	NONE	fig|155862.2.peg.1180
all_I_2.0_c_0.4_m_maxbit	1380	ligosaccharide amylase_ga0150971_11126	fig|155862.1.peg.1158	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	769	hypothetical protein_ga0150971_105215	fig|155862.1.peg.573	NONE	NONE	fig|155862.5.peg.773	fig|155862.2.peg.503
all_I_2.0_c_0.4_m_maxbit	212	ibonuclease j_ga0150971_11375	fig|155862.1.peg.1399	NONE	fig|155862.4.peg.289	fig|155862.5.peg.77	fig|155862.2.peg.971
all_I_2.0_c_0.4_m_maxbit	1691	hypothetical protein_ga0150971_10086	fig|155862.1.peg.88	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1070	nucleolar gtp-binding protein_ga0150972_102936	fig|155862.1.peg.438	NONE	NONE	NONE	fig|155862.2.peg.161
all_I_2.0_c_0.4_m_maxbit	1525	lon-related putative atp-dependent protease_ga0150972_104046	NONE	NONE	NONE	NONE	fig|155862.2.peg.225
all_I_2.0_c_0.4_m_maxbit	926	hypothetical protein_ga0150975_18856	fig|155862.1.peg.1037	NONE	NONE	fig|155862.5.peg.831	NONE
all_I_2.0_c_0.4_m_maxbit	293	hypothetical protein_ga0150974_10224	fig|155862.1.peg.433	NONE	fig|155862.4.peg.98	fig|155862.5.peg.50	fig|155862.2.peg.1170
all_I_2.0_c_0.4_m_maxbit	1768	soluble p-type atpase_ga0150973_1107236	NONE	fig|155862.3.peg.152	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1215	agmatinase_ga0150972_124323	NONE	NONE	fig|155862.4.peg.529	NONE	fig|155862.2.peg.1032
all_I_2.0_c_0.4_m_maxbit	600	udp-n-acetylmuramyl pentapeptide synthase_ga0150971_11314	fig|155862.1.peg.1356	NONE	NONE	fig|155862.5.peg.819	fig|155862.2.peg.1054
all_I_2.0_c_0.4_m_maxbit	1007	ative abc transport system permease protein_ga0150972_119948	fig|155862.1.peg.1297	NONE	NONE	NONE	fig|155862.2.peg.795
all_I_2.0_c_0.4_m_maxbit	434	rna methyltransferase, trmh family, group 1_ga0150972_119961	fig|155862.1.peg.1043	NONE	NONE	fig|155862.5.peg.493	fig|155862.2.peg.808
all_I_2.0_c_0.4_m_maxbit	1292	arallel beta-helix repeat (two copies)_ga0150971_10406	fig|155862.1.peg.435	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	681	tigr00267 family protein_ga0150971_102515	fig|155862.1.peg.281	NONE	fig|155862.4.peg.11	NONE	fig|155862.2.peg.172
all_I_2.0_c_0.4_m_maxbit	124	act domain-containing protein_ga0150975_13626	fig|155862.1.peg.103	NONE	fig|155862.4.peg.203	fig|155862.5.peg.342	fig|155862.2.peg.147
all_I_2.0_c_0.4_m_maxbit	1539	hydroxylamine reductase_ga0150971_10288	fig|155862.1.peg.303	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1437	epsp synthase (3-phosphoshikimate 1-carboxyvinyltransferase)_ga0150972_12096	NONE	NONE	NONE	NONE	fig|155862.2.peg.902
all_I_2.0_c_0.4_m_maxbit	774	predicted nucleic acid-binding protein, contains zn-ribbon domain_ga0150972_114326	fig|155862.1.peg.578	NONE	NONE	fig|155862.5.peg.769	fig|155862.2.peg.507
all_I_2.0_c_0.4_m_maxbit	205	 branched chain amino acid aminotransferase apoenzyme_ga0150974_12265	fig|155862.1.peg.1369	NONE	fig|155862.4.peg.380	fig|155862.5.peg.263	fig|155862.2.peg.37
all_I_2.0_c_0.4_m_maxbit	1680	hypothetical protein_ga0150973_106707	NONE	fig|155862.3.peg.82	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1063	hypothetical protein_ga0150972_120327	NONE	NONE	NONE	fig|155862.5.peg.636	fig|155862.2.peg.866
all_I_2.0_c_0.4_m_maxbit	1514	hypothetical protein_ga0150972_114347	NONE	NONE	NONE	NONE	fig|155862.2.peg.528
all_I_2.0_c_0.4_m_maxbit	919	hypothetical protein_ga0150972_124372	fig|155862.1.peg.1027	NONE	NONE	NONE	fig|155862.2.peg.1080
all_I_2.0_c_0.4_m_maxbit	346	 mevalonate kinase_ga0150974_114419	fig|155862.1.peg.727	NONE	fig|155862.4.peg.259	fig|155862.5.peg.661	fig|155862.2.peg.1041
all_I_2.0_c_0.4_m_maxbit	1761	ivalent cation tolerance protein_ga0150972_12345	NONE	NONE	NONE	NONE	fig|155862.2.peg.927
all_I_2.0_c_0.4_m_maxbit	1204	act domain-containing protein_ga0150971_109220	fig|155862.1.peg.943	NONE	NONE	NONE	fig|155862.2.peg.22
all_I_2.0_c_0.4_m_maxbit	593	 acetyl-coa decarbonylase/synthase alpha subuni_ga0150971_11303	fig|155862.1.peg.1344	NONE	NONE	fig|155862.5.peg.237	fig|155862.2.peg.593
all_I_2.0_c_0.4_m_maxbit	996	ative mfs transporter, agza family, xanthine/uracil permease_ga0150974_157617	fig|155862.1.peg.1257	NONE	fig|155862.4.peg.850	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	427	 cyclic phosphodiesterase mptb_ga0150971_109370	fig|155862.1.peg.1031	NONE	NONE	fig|155862.5.peg.532	fig|155862.2.peg.1133
all_I_2.0_c_0.4_m_maxbit	1285	hypothetical protein_ga0150973_1081010	NONE	fig|155862.3.peg.94	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	686	small-conductance mechanosensitive channel_ga0150971_10289	fig|155862.1.peg.304	NONE	fig|155862.4.peg.198	NONE	fig|155862.2.peg.963
all_I_2.0_c_0.4_m_maxbit	117	acetolactate synthase-1/2/3 large subuni_ga0150974_14454	fig|155862.1.peg.1016	NONE	fig|155862.4.peg.705	fig|155862.5.peg.67	fig|155862.2.peg.339
all_I_2.0_c_0.4_m_maxbit	1592	hypothetical protein_ga0150971_104054	fig|155862.1.peg.483	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1426	atp dependent dna ligase c terminal region_ga0150974_15595	NONE	NONE	fig|155862.4.peg.829	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	831	ative methanogenesis marker protein 14_ga0150972_120313	fig|155862.1.peg.784	NONE	NONE	fig|155862.5.peg.665	fig|155862.2.peg.852
all_I_2.0_c_0.4_m_maxbit	194	 rnase z_ga0150973_102972	fig|155862.1.peg.13	fig|155862.3.peg.20	NONE	fig|155862.5.peg.723	fig|155862.2.peg.859
all_I_2.0_c_0.4_m_maxbit	1673	hypothetical protein_ga0150975_13961	NONE	NONE	NONE	fig|155862.5.peg.370	NONE
all_I_2.0_c_0.4_m_maxbit	1116	 cyclic pyranopterin monophosphate synthase subunit moac_ga0150971_104011	fig|155862.1.peg.440	NONE	NONE	NONE	fig|155862.2.peg.985
all_I_2.0_c_0.4_m_maxbit	1507	hypothetical protein_ga0150973_1107220	NONE	fig|155862.3.peg.136	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	908	cmp-n-acetylneuraminic acid synthetase_ga0150974_15212	NONE	NONE	fig|155862.4.peg.795	fig|155862.5.peg.308;fig|155862.5.peg.793	NONE
all_I_2.0_c_0.4_m_maxbit	339	 hydroxymethylpyrimidine synthase_ga0150975_12073	fig|155862.1.peg.680	NONE	fig|155862.4.peg.124	fig|155862.5.peg.180	fig|155862.2.peg.702
all_I_2.0_c_0.4_m_maxbit	1766	hypothetical protein_ga0150973_1107221	NONE	fig|155862.3.peg.137	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1197	 rna-binding protein, containing pua domain_ga0150971_10923	fig|155862.1.peg.928	NONE	NONE	NONE	fig|155862.2.peg.564
all_I_2.0_c_0.4_m_maxbit	598	hypothetical protein_ga0150971_113010	fig|155862.1.peg.1351;fig|155862.1.peg.412	NONE	NONE	NONE	fig|155862.2.peg.16
all_I_2.0_c_0.4_m_maxbit	29	 phosphoribosyl-amp cyclohydrolase_ga0150975_168312	fig|155862.1.peg.1095	NONE	fig|155862.4.peg.164	fig|155862.5.peg.597;fig|155862.5.peg.587	fig|155862.2.peg.531
all_I_2.0_c_0.4_m_maxbit	416	zn-dependent protease (includes spoivfb)_ga0150975_16265	fig|155862.1.peg.715	NONE	fig|155862.4.peg.671	fig|155862.5.peg.508	NONE
all_I_2.0_c_0.4_m_maxbit	1338	hypothetical protein_ga0150974_12902	NONE	NONE	fig|155862.4.peg.520	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	679	endoglucanase_ga0150975_101335	fig|155862.1.peg.273	NONE	NONE	fig|155862.5.peg.47	fig|155862.2.peg.1055
all_I_2.0_c_0.4_m_maxbit	106	 isopentenyl phosphate kinase_ga0150971_109339	fig|155862.1.peg.1003	NONE	fig|155862.4.peg.758	fig|155862.5.peg.258	fig|155862.2.peg.65
all_I_2.0_c_0.4_m_maxbit	1585	 crispr-associated helicase, cas3 family_ga0150971_104045	fig|155862.1.peg.474	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1419	snf2 family n-terminal domain-containing protein_ga0150972_119953	NONE	NONE	NONE	NONE	fig|155862.2.peg.800
all_I_2.0_c_0.4_m_maxbit	820	pyruvate kinase, barrel domain_ga0150971_10771	fig|155862.1.peg.823;fig|155862.1.peg.749	NONE	fig|155862.4.peg.575	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	251	hypothetical protein_ga0150971_101926	fig|155862.1.peg.220	NONE	fig|155862.4.peg.619	fig|155862.5.peg.326	fig|155862.2.peg.618
all_I_2.0_c_0.4_m_maxbit	1678	 membrane-bound hydrogenase subunit ehbh /membrane-bound hydrogenase subunit ehbi_ga0150975_132761	NONE	NONE	NONE	fig|155862.5.peg.284	NONE
all_I_2.0_c_0.4_m_maxbit	1109	hypothetical protein_ga0150972_12184	fig|155862.1.peg.417	NONE	NONE	NONE	fig|155862.2.peg.906
all_I_2.0_c_0.4_m_maxbit	901	anslin_ga0150973_1107238	NONE	fig|155862.3.peg.153	NONE	fig|155862.5.peg.247	fig|155862.2.peg.75
all_I_2.0_c_0.4_m_maxbit	328	nitrogenase molybdenum-iron protein alpha chain_ga0150973_110726	fig|155862.1.peg.624	fig|155862.3.peg.122;fig|155862.3.peg.99	fig|155862.4.peg.589	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1823	hypothetical protein_ga0150975_101322	NONE	NONE	NONE	fig|155862.5.peg.35	NONE
all_I_2.0_c_0.4_m_maxbit	1186	 methylenetetrahydromethanopterin dehydrogenase_ga0150974_131915	fig|155862.1.peg.824	NONE	fig|155862.4.peg.576	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	591	 nitrogen regulatory protein p-ii family_ga0150973_1107211	fig|155862.1.peg.619	fig|155862.3.peg.127	fig|155862.4.peg.594	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	18	adenylosuccinate synthase_ga0150975_13491	fig|155862.1.peg.1281;fig|155862.1.peg.363	fig|155862.3.peg.103	fig|155862.4.peg.496	fig|155862.5.peg.309	fig|155862.2.peg.539
all_I_2.0_c_0.4_m_maxbit	473	 flap endonuclease 1_ga0150971_11071	fig|155862.1.peg.1128	NONE	NONE	fig|155862.5.peg.181	fig|155862.2.peg.703
all_I_2.0_c_0.4_m_maxbit	1331	hypothetical protein_ga0150974_12351	NONE	NONE	fig|155862.4.peg.438	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	732	 porphobilinogen synthase_ga0150975_169011	fig|155862.1.peg.461	NONE	NONE	fig|155862.5.peg.619	fig|155862.2.peg.675
all_I_2.0_c_0.4_m_maxbit	99	hypothetical protein_ga0150975_188312	fig|155862.1.peg.963	NONE	fig|155862.4.peg.819	fig|155862.5.peg.824;fig|155862.5.peg.818	fig|155862.2.peg.1053
all_I_2.0_c_0.4_m_maxbit	1590	hypothetical protein_ga0150971_104052	fig|155862.1.peg.481	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1408	hypothetical protein_ga0150971_11228	fig|155862.1.peg.1263	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	813	 2-phosphoglycerate kinase_ga0150974_10332	fig|155862.1.peg.706	NONE	fig|155862.4.peg.111	NONE	fig|155862.2.peg.179
all_I_2.0_c_0.4_m_maxbit	240	nitt/taut family transport system permease protein_ga0150972_102935	fig|155862.1.peg.190	fig|155862.3.peg.32	NONE	fig|155862.5.peg.581	fig|155862.2.peg.160
all_I_2.0_c_0.4_m_maxbit	1671	prcb c-terminal_ga0150971_10745	fig|155862.1.peg.801	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1098	glycosyl transferase family 2_ga0150972_119933	fig|155862.1.peg.516	NONE	NONE	NONE	fig|155862.2.peg.780
all_I_2.0_c_0.4_m_maxbit	954	 pyruvate ferredoxin oxidoreductase, beta subuni_ga0150971_11065	fig|155862.1.peg.1121	NONE	NONE	NONE	fig|155862.2.peg.1025
all_I_2.0_c_0.4_m_maxbit	321	hypothetical protein_ga0150974_15555	fig|155862.1.peg.602	NONE	fig|155862.4.peg.821	NONE	fig|155862.2.peg.911;fig|155862.2.peg.690
all_I_2.0_c_0.4_m_maxbit	1812	peptidase inhibitor i9_ga0150975_12872	NONE	NONE	NONE	fig|155862.5.peg.216	NONE
all_I_2.0_c_0.4_m_maxbit	1243	l-fuculose-phosphate aldolase_ga0150973_1107233	NONE	fig|155862.3.peg.149	NONE	NONE	fig|155862.2.peg.752
all_I_2.0_c_0.4_m_maxbit	580	hypothetical protein_ga0150972_10823	fig|155862.1.peg.1327	NONE	fig|155862.4.peg.867	NONE	fig|155862.2.peg.249
all_I_2.0_c_0.4_m_maxbit	11	hypothetical protein_ga0150971_10294	fig|155862.1.peg.826;fig|155862.1.peg.1382;fig|155862.1.peg.985;fig|155862.1.peg.919;fig|155862.1.peg.308;fig|155862.1.peg.260	NONE	NONE	fig|155862.5.peg.416	NONE
all_I_2.0_c_0.4_m_maxbit	478	 membrane-bound hydrogenase subunit ehbp_ga0150971_110712	fig|155862.1.peg.1139	NONE	fig|155862.4.peg.80	NONE	fig|155862.2.peg.253
all_I_2.0_c_0.4_m_maxbit	1320	hypothetical protein_ga0150971_109513	fig|155862.1.peg.1060	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	725	pkd domain-containing protein_ga0150971_10091	fig|155862.1.peg.95	NONE	fig|155862.4.peg.100	fig|155862.5.peg.109	NONE
all_I_2.0_c_0.4_m_maxbit	152	4fe-4s dicluster domain-containing protein_ga0150971_10686	fig|155862.1.peg.729	NONE	fig|155862.4.peg.257	fig|155862.5.peg.651	fig|155862.2.peg.1048
all_I_2.0_c_0.4_m_maxbit	1583	 crispr-associated autoregulator, cst2 family_ga0150971_104043	fig|155862.1.peg.472	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1465	pld-like domain-containing protein_ga0150972_119952	NONE	NONE	NONE	NONE	fig|155862.2.peg.799
all_I_2.0_c_0.4_m_maxbit	802	rna (adenine57-n1/adenine58-n1)-methyltransferase_ga0150972_119981	fig|155862.1.peg.683	NONE	fig|155862.4.peg.127	NONE	fig|155862.2.peg.825
all_I_2.0_c_0.4_m_maxbit	233	 lsu ribosomal protein l2p_ga0150973_1107242	fig|155862.1.peg.163	fig|155862.3.peg.157	NONE	fig|155862.5.peg.251	fig|155862.2.peg.71
all_I_2.0_c_0.4_m_maxbit	1724	rna-splicing ligase rtcb_ga0150972_10282	NONE	NONE	NONE	NONE	fig|155862.2.peg.126
all_I_2.0_c_0.4_m_maxbit	1091	hypothetical protein_ga0150972_11241	NONE	NONE	NONE	NONE	fig|155862.2.peg.414;fig|155862.2.peg.405
all_I_2.0_c_0.4_m_maxbit	947	hypothetical protein_ga0150971_110512	fig|155862.1.peg.1116;fig|155862.1.peg.149	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	326	hypothetical protein_ga0150972_119926	fig|155862.1.peg.610	NONE	NONE	fig|155862.5.peg.365;fig|155862.5.peg.176	fig|155862.2.peg.773
all_I_2.0_c_0.4_m_maxbit	1805	ein of unknown function (duf4145)_ga0150974_16558	NONE	NONE	fig|155862.4.peg.917	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1232	class iii signal peptide_ga0150975_16831	NONE	NONE	NONE	fig|155862.5.peg.598;fig|155862.5.peg.586	NONE
all_I_2.0_c_0.4_m_maxbit	637	pmba protein_ga0150971_10188	fig|155862.1.peg.164	NONE	NONE	fig|155862.5.peg.517	fig|155862.2.peg.32
all_I_2.0_c_0.4_m_maxbit	471	gtp-binding protein engb required for normal cell division_ga0150972_102916	fig|155862.1.peg.902	NONE	NONE	fig|155862.5.peg.810	fig|155862.2.peg.141
all_I_2.0_c_0.4_m_maxbit	1313	hypothetical protein_ga0150971_10958	fig|155862.1.peg.1055	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	714	sulfur relay (sulfurtransferase) complex tusbcd tusd component, dsre family_ga0150975_118311	fig|155862.1.peg.37	NONE	fig|155862.4.peg.721	fig|155862.5.peg.163	NONE
all_I_2.0_c_0.4_m_maxbit	145	aminotransferase class-iii_ga0150974_13091	fig|155862.1.peg.1187	NONE	fig|155862.4.peg.537	fig|155862.5.peg.241	fig|155862.2.peg.597
all_I_2.0_c_0.4_m_maxbit	1572	porphobilinogen deaminase, dipyromethane cofactor binding domain_ga0150975_142013	NONE	NONE	NONE	fig|155862.5.peg.384	NONE
all_I_2.0_c_0.4_m_maxbit	1470	hypothetical protein_ga0150971_113317	fig|155862.1.peg.1389	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	859	 tata binding protein of transcription factor tfiid_ga0150972_109567	fig|155862.1.peg.905	NONE	NONE	fig|155862.5.peg.392	fig|155862.2.peg.375
all_I_2.0_c_0.4_m_maxbit	238	 homoserine kinase_ga0150971_101827	fig|155862.1.peg.183	fig|155862.3.peg.49	NONE	fig|155862.5.peg.537	fig|155862.2.peg.1107
all_I_2.0_c_0.4_m_maxbit	1717	hypothetical protein_ga0150972_124352	NONE	NONE	NONE	NONE	fig|155862.2.peg.1060
all_I_2.0_c_0.4_m_maxbit	1144	 6-carboxyhexanoate-coa ligase_ga0150972_114827	fig|155862.1.peg.589	NONE	NONE	NONE	fig|155862.2.peg.570
all_I_2.0_c_0.4_m_maxbit	936	 crispr-associated protein, csm4 family_ga0150974_101735	fig|155862.1.peg.1091	NONE	fig|155862.4.peg.43	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	383	balt-precorrin 5a hydrolase_ga0150975_17992	fig|155862.1.peg.893	NONE	fig|155862.4.peg.437	fig|155862.5.peg.641	fig|155862.2.peg.679
all_I_2.0_c_0.4_m_maxbit	1794	hypothetical protein_ga0150974_13951	NONE	NONE	fig|155862.4.peg.669	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1225	 methyl-coenzyme m reductase, beta subuni_ga0150974_13712	NONE	NONE	fig|155862.4.peg.667	fig|155862.5.peg.3	NONE
all_I_2.0_c_0.4_m_maxbit	626	iron complex transport system substrate-binding protein_ga0150975_16208	fig|155862.1.peg.89	NONE	NONE	fig|155862.5.peg.492	fig|155862.2.peg.807
all_I_2.0_c_0.4_m_maxbit	57	6,7-dimethyl-8-ribityllumazine synthase_ga0150974_11443	fig|155862.1.peg.1404	NONE	fig|155862.4.peg.243	fig|155862.5.peg.601;fig|155862.5.peg.398	fig|155862.2.peg.193
all_I_2.0_c_0.4_m_maxbit	460	 glutamine--fructose-6-phosphate transaminase_ga0150971_107318	fig|155862.1.peg.780	NONE	fig|155862.4.peg.915	NONE	fig|155862.2.peg.828
all_I_2.0_c_0.4_m_maxbit	1318	horismate binding enzyme_ga0150974_11011	NONE	NONE	fig|155862.4.peg.200	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	707	 thiazole-adenylate synthase_ga0150972_123833	fig|155862.1.peg.349	NONE	NONE	fig|155862.5.peg.564	fig|155862.2.peg.961
all_I_2.0_c_0.4_m_maxbit	150	asparagine synthase (glutamine-hydrolysing)_ga0150971_11057	fig|155862.1.peg.1111	NONE	fig|155862.4.peg.210	fig|155862.5.peg.112	fig|155862.2.peg.1167
all_I_2.0_c_0.4_m_maxbit	1629	hypothetical protein_ga0150971_10561	fig|155862.1.peg.637	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1463	serine/threonine protein phosphatase prpc_ga0150971_113910	fig|155862.1.peg.1416	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	848	 snornp protein gar1_ga0150971_108315	fig|155862.1.peg.857	NONE	fig|155862.4.peg.416	NONE	fig|155862.2.peg.846
all_I_2.0_c_0.4_m_maxbit	231	predicted purr-regulated permease perm_ga0150972_11997	fig|155862.1.peg.148	fig|155862.3.peg.186	fig|155862.4.peg.208	NONE	fig|155862.2.peg.756
all_I_2.0_c_0.4_m_maxbit	1706	hypothetical protein_ga0150974_12969	NONE	NONE	fig|155862.4.peg.535	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1137	 replicative dna polymerase i_ga0150972_120328	fig|155862.1.peg.552	NONE	NONE	NONE	fig|155862.2.peg.867
all_I_2.0_c_0.4_m_maxbit	538	 cobaltochelatase cobn subuni_ga0150971_11223	fig|155862.1.peg.1258	NONE	fig|155862.4.peg.509	NONE	fig|155862.2.peg.921
all_I_2.0_c_0.4_m_maxbit	929	hypothetical protein_ga0150972_116666	NONE	NONE	NONE	NONE	fig|155862.2.peg.721;fig|155862.2.peg.720
all_I_2.0_c_0.4_m_maxbit	372	 dna-directed rna polymerase, subunit a'_ga0150975_18828	fig|155862.1.peg.827	NONE	fig|155862.4.peg.335	fig|155862.5.peg.809	fig|155862.2.peg.142
all_I_2.0_c_0.4_m_maxbit	1230	glycosyl transferase family 2_ga0150972_114341	NONE	NONE	fig|155862.4.peg.598	NONE	fig|155862.2.peg.522
all_I_2.0_c_0.4_m_maxbit	619	 molybdopterin adenylyltransferase_ga0150974_11633	fig|155862.1.peg.1396	NONE	fig|155862.4.peg.286	NONE	fig|155862.2.peg.464
all_I_2.0_c_0.4_m_maxbit	62	 sep-trna:cys-trna synthase_ga0150974_104314	fig|155862.1.peg.167	NONE	fig|155862.4.peg.628;fig|155862.4.peg.146	NONE	fig|155862.2.peg.1121;fig|155862.2.peg.895
all_I_2.0_c_0.4_m_maxbit	453	hypothetical protein_ga0150971_11045	fig|155862.1.peg.1103	NONE	fig|155862.4.peg.273	NONE	fig|155862.2.peg.517
all_I_2.0_c_0.4_m_maxbit	1375	 thermosome subuni_ga0150971_110721	fig|155862.1.peg.1148	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	760	 molybdopterin molybdochelatase_ga0150972_102685	fig|155862.1.peg.747	NONE	NONE	fig|155862.5.peg.138	fig|155862.2.peg.89
all_I_2.0_c_0.4_m_maxbit	143	hypothetical protein_ga0150974_101729	fig|155862.1.peg.110	NONE	fig|155862.4.peg.37	fig|155862.5.peg.555	fig|155862.2.peg.616
all_I_2.0_c_0.4_m_maxbit	1618	hypothetical protein_ga0150972_10778	NONE	NONE	NONE	NONE	fig|155862.2.peg.244
all_I_2.0_c_0.4_m_maxbit	1049	v/a-type h+-transporting atpase subunit f_ga0150971_101821	fig|155862.1.peg.177	NONE	NONE	NONE	fig|155862.2.peg.1111
all_I_2.0_c_0.4_m_maxbit	1452	ribosomal protein l19e_ga0150971_10761	fig|155862.1.peg.821	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	841	upf0271 protein_ga0150974_145815	fig|155862.1.peg.833	NONE	fig|155862.4.peg.738	NONE	fig|155862.2.peg.979
all_I_2.0_c_0.4_m_maxbit	284	glycosyl transferase family 2_ga0150975_13409	fig|155862.1.peg.378	fig|155862.3.peg.69	NONE	fig|155862.5.peg.299	fig|155862.2.peg.646
all_I_2.0_c_0.4_m_maxbit	1699	cbid protein_ga0150972_12091	NONE	NONE	NONE	NONE	fig|155862.2.peg.897
all_I_2.0_c_0.4_m_maxbit	1142	recj-like exonuclease_ga0150972_114829	fig|155862.1.peg.587	NONE	NONE	NONE	fig|155862.2.peg.572
all_I_2.0_c_0.4_m_maxbit	531	hypothetical protein_ga0150971_10531	fig|155862.1.peg.910;fig|155862.1.peg.834;fig|155862.1.peg.596	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	934	 crispr-associated protein, csm2 family_ga0150974_101737	fig|155862.1.peg.1089	NONE	fig|155862.4.peg.45	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	365	hiamine biosynthesis protein thii_ga0150971_107313	fig|155862.1.peg.775	NONE	fig|155862.4.peg.334	fig|155862.5.peg.693	fig|155862.2.peg.1128
all_I_2.0_c_0.4_m_maxbit	1223	tm2 domain-containing membrane protein yozv_ga0150975_10921	NONE	NONE	NONE	fig|155862.5.peg.104	fig|155862.2.peg.167
all_I_2.0_c_0.4_m_maxbit	608	 diaminopimelate decarboxylase_ga0150971_113120	fig|155862.1.peg.1372	NONE	NONE	fig|155862.5.peg.329	fig|155862.2.peg.254
all_I_2.0_c_0.4_m_maxbit	55	inhibitor of cysteine peptidase_ga0150972_102659	fig|155862.1.peg.1401	NONE	fig|155862.4.peg.216;fig|155862.4.peg.155	fig|155862.5.peg.516	fig|155862.2.peg.64
all_I_2.0_c_0.4_m_maxbit	506	hypothetical protein_ga0150972_123841	fig|155862.1.peg.1212	NONE	NONE	fig|155862.5.peg.75	fig|155862.2.peg.969
